port,country,locode,lat,lon,rank,global_trade,port_url,port_in_vessels_graph,Port_arrivals_and_departures_graph,container_trade_graph,map
Long Beach,US,US LGB,33.7667,-118.183,18,1.2,https://www.econdb.com/maritime/ports/async/US LGB/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=US LGB,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=US LGB,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=US LGB,https://www.econdb.com/maritime/search/?ab=33.7167%2C-118.233%2C33.8167%2C-118.13300000000001&center=33.7667%2C-118.183
Raysut Salalah,OM,OM SLL,16.9333,54.0167,19,1.19,https://www.econdb.com/maritime/ports/async/OM SLL/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=OM SLL,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=OM SLL,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=OM SLL,https://www.econdb.com/maritime/search/?ab=16.8833%2C53.9667%2C16.9833%2C54.0667&center=16.9333%2C54.0167
Algeciras,ES,ES ALG,36.1333,-5.43333,20,1.16,https://www.econdb.com/maritime/ports/async/ES ALG/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=ES ALG,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=ES ALG,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=ES ALG,https://www.econdb.com/maritime/search/?ab=36.0833%2C-5.48333%2C36.183299999999996%2C-5.38333&center=36.1333%2C-5.43333
Hamburg,DE,DE HAM,53.55,9.93333,21,1.07,https://www.econdb.com/maritime/ports/async/DE HAM/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=DE HAM,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=DE HAM,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=DE HAM,https://www.econdb.com/maritime/search/?ab=53.5%2C9.883329999999999%2C53.599999999999994%2C9.98333&center=53.55%2C9.93333
Mundra,IN,IN MUN,22.7333,69.7,22,1.06,https://www.econdb.com/maritime/ports/async/IN MUN/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=IN MUN,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=IN MUN,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=IN MUN,https://www.econdb.com/maritime/search/?ab=22.6833%2C69.65%2C22.7833%2C69.75&center=22.7333%2C69.7
Nhava Sheva,IN,IN NSA,18.95,72.95,23,1.05,https://www.econdb.com/maritime/ports/async/IN NSA/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=IN NSA,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=IN NSA,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=IN NSA,https://www.econdb.com/maritime/search/?ab=18.9%2C72.9%2C19.0%2C73.0&center=18.95%2C72.95
Balboa,PA,PA BLB,8.95,-79.5667,24,1.03,https://www.econdb.com/maritime/ports/async/PA BLB/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=PA BLB,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=PA BLB,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=PA BLB,https://www.econdb.com/maritime/search/?ab=8.899999999999999%2C-79.6167%2C9.0%2C-79.5167&center=8.95%2C-79.5667
Los Angeles,US,US LAX,33.75,-118.25,25,1.02,https://www.econdb.com/maritime/ports/async/US LAX/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=US LAX,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=US LAX,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=US LAX,https://www.econdb.com/maritime/search/?ab=33.7%2C-118.3%2C33.8%2C-118.2&center=33.75%2C-118.25
Laem Chabang,TH,TH LCH,13.0833,100.883,26,1,https://www.econdb.com/maritime/ports/async/TH LCH/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=TH LCH,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=TH LCH,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=TH LCH,https://www.econdb.com/maritime/search/?ab=13.033299999999999%2C100.833%2C13.1333%2C100.93299999999999&center=13.0833%2C100.883
Xiamen,CN,CN XMN,24.4795,118.089,27,0.95,https://www.econdb.com/maritime/ports/async/CN XMN/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=CN XMN,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=CN XMN,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=CN XMN,https://www.econdb.com/maritime/search/?ab=24.4295%2C118.039%2C24.529500000000002%2C118.139&center=24.4795%2C118.089
Jeddah,SA,SA JED,21.4833,39.1833,28,0.9,https://www.econdb.com/maritime/ports/async/SA JED/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=SA JED,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=SA JED,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=SA JED,https://www.econdb.com/maritime/search/?ab=21.4333%2C39.133300000000006%2C21.5333%2C39.2333&center=21.4833%2C39.1833
New York,US,US NYC,40.7,-74.0167,29,0.88,https://www.econdb.com/maritime/ports/async/US NYC/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=US NYC,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=US NYC,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=US NYC,https://www.econdb.com/maritime/search/?ab=40.650000000000006%2C-74.0667%2C40.75%2C-73.9667&center=40.7%2C-74.0167
Jakarta,ID,ID JKT,-6.1,106.883,30,0.82,https://www.econdb.com/maritime/ports/async/ID JKT/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=ID JKT,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=ID JKT,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=ID JKT,https://www.econdb.com/maritime/search/?ab=-6.1499999999999995%2C106.833%2C-6.05%2C106.93299999999999&center=-6.1%2C106.883
Tianjin Xin Gang,CN,CN TXG,38.9667,117.833,31,0.82,https://www.econdb.com/maritime/ports/async/CN TXG/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=CN TXG,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=CN TXG,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=CN TXG,https://www.econdb.com/maritime/search/?ab=38.916700000000006%2C117.783%2C39.0167%2C117.883&center=38.9667%2C117.833
Piraeus,GR,GR PIR,37.9333,23.65,32,0.82,https://www.econdb.com/maritime/ports/async/GR PIR/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=GR PIR,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=GR PIR,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=GR PIR,https://www.econdb.com/maritime/search/?ab=37.883300000000006%2C23.599999999999998%2C37.9833%2C23.7&center=37.9333%2C23.65
Bremerhaven,DE,DE BRV,53.5333,8.58333,33,0.81,https://www.econdb.com/maritime/ports/async/DE BRV/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=DE BRV,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=DE BRV,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=DE BRV,https://www.econdb.com/maritime/search/?ab=53.4833%2C8.53333%2C53.583299999999994%2C8.63333&center=53.5333%2C8.58333
Valencia,ES,ES VLC,39.45,-0.316667,34,0.79,https://www.econdb.com/maritime/ports/async/ES VLC/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=ES VLC,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=ES VLC,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=ES VLC,https://www.econdb.com/maritime/search/?ab=39.400000000000006%2C-0.36666699999999997%2C39.5%2C-0.266667&center=39.45%2C-0.316667
Savannah,US,US SAV,32.0833,-81.0833,35,0.75,https://www.econdb.com/maritime/ports/async/US SAV/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=US SAV,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=US SAV,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=US SAV,https://www.econdb.com/maritime/search/?ab=32.033300000000004%2C-81.13329999999999%2C32.1333%2C-81.0333&center=32.0833%2C-81.0833
Houston,US,US HOU,29.75,-95.2833,36,0.71,https://www.econdb.com/maritime/ports/async/US HOU/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=US HOU,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=US HOU,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=US HOU,https://www.econdb.com/maritime/search/?ab=29.7%2C-95.3333%2C29.8%2C-95.2333&center=29.75%2C-95.2833
Nansha,CN,CN NSA,22.67,113.66,37,0.67,https://www.econdb.com/maritime/ports/async/CN NSA/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=CN NSA,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=CN NSA,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=CN NSA,https://www.econdb.com/maritime/search/?ab=22.62%2C113.61%2C22.720000000000002%2C113.71&center=22.67%2C113.66
Ho Chi Minh,VN,VN SGN,10.7667,106.717,38,0.66,https://www.econdb.com/maritime/ports/async/VN SGN/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=VN SGN,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=VN SGN,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=VN SGN,https://www.econdb.com/maritime/search/?ab=10.7167%2C106.667%2C10.8167%2C106.767&center=10.7667%2C106.717
Haiphong,VN,VN HPH,20.9167,106.683,39,0.61,https://www.econdb.com/maritime/ports/async/VN HPH/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=VN HPH,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=VN HPH,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=VN HPH,https://www.econdb.com/maritime/search/?ab=20.866699999999998%2C106.63300000000001%2C20.9667%2C106.733&center=20.9167%2C106.683
Barcelona,ES,ES BCN,41.35,2.16667,40,0.6,https://www.econdb.com/maritime/ports/async/ES BCN/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=ES BCN,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=ES BCN,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=ES BCN,https://www.econdb.com/maritime/search/?ab=41.300000000000004%2C2.11667%2C41.4%2C2.2166699999999997&center=41.35%2C2.16667
Santos,BR,BR SSZ,-23.95,-46.3,41,0.56,https://www.econdb.com/maritime/ports/async/BR SSZ/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=BR SSZ,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=BR SSZ,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=BR SSZ,https://www.econdb.com/maritime/search/?ab=-24.0%2C-46.349999999999994%2C-23.9%2C-46.25&center=-23.95%2C-46.3
Vancouver,CA,CA VAN,49.2833,-123.117,42,0.55,https://www.econdb.com/maritime/ports/async/CA VAN/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=CA VAN,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=CA VAN,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=CA VAN,https://www.econdb.com/maritime/search/?ab=49.2333%2C-123.167%2C49.333299999999994%2C-123.06700000000001&center=49.2833%2C-123.117
Gioia Tauro,IT,IT GIT,38.444,15.89,43,0.52,https://www.econdb.com/maritime/ports/async/IT GIT/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=IT GIT,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=IT GIT,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=IT GIT,https://www.econdb.com/maritime/search/?ab=38.394000000000005%2C15.84%2C38.494%2C15.940000000000001&center=38.444%2C15.89
Manzanillo,PA,PA MIT,7.53333,-81.1667,44,0.52,https://www.econdb.com/maritime/ports/async/PA MIT/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=PA MIT,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=PA MIT,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=PA MIT,https://www.econdb.com/maritime/search/?ab=7.4833300000000005%2C-81.2167%2C7.58333%2C-81.11670000000001&center=7.53333%2C-81.1667
Manila,PH,PH MNL,14.5833,120.967,45,0.52,https://www.econdb.com/maritime/ports/async/PH MNL/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=PH MNL,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=PH MNL,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=PH MNL,https://www.econdb.com/maritime/search/?ab=14.533299999999999%2C120.917%2C14.6333%2C121.017&center=14.5833%2C120.967
Le Havre,FR,FR LEH,49.4833,0.116667,46,0.52,https://www.econdb.com/maritime/ports/async/FR LEH/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=FR LEH,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=FR LEH,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=FR LEH,https://www.econdb.com/maritime/search/?ab=49.4333%2C0.066667%2C49.5333%2C0.166667&center=49.4833%2C0.116667
Manzanillo,MX,MX ZLO,19.05,-104.317,47,0.51,https://www.econdb.com/maritime/ports/async/MX ZLO/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=MX ZLO,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=MX ZLO,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=MX ZLO,https://www.econdb.com/maritime/search/?ab=19.0%2C-104.36699999999999%2C19.1%2C-104.267&center=19.05%2C-104.317
Suez - As Suways,EG,EG SUZ,29.9667,32.55,48,0.5,https://www.econdb.com/maritime/ports/async/EG SUZ/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=EG SUZ,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=EG SUZ,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=EG SUZ,https://www.econdb.com/maritime/search/?ab=29.9167%2C32.5%2C30.0167%2C32.599999999999994&center=29.9667%2C32.55
Felixstowe,UK,GB FXT,51.95,1.31667,49,0.48,https://www.econdb.com/maritime/ports/async/GB FXT/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=GB FXT,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=GB FXT,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=GB FXT,https://www.econdb.com/maritime/search/?ab=51.900000000000006%2C1.26667%2C52.0%2C1.36667&center=51.95%2C1.31667
Durban,ZA,ZA DUR,-29.8667,31.0667,50,0.48,https://www.econdb.com/maritime/ports/async/ZA DUR/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=ZA DUR,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=ZA DUR,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=ZA DUR,https://www.econdb.com/maritime/search/?ab=-29.916700000000002%2C31.0167%2C-29.8167%2C31.1167&center=-29.8667%2C31.0667
Cartagena,CO,CO CTG,10.4167,-75.5333,51,0.46,https://www.econdb.com/maritime/ports/async/CO CTG/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=CO CTG,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=CO CTG,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=CO CTG,https://www.econdb.com/maritime/search/?ab=10.3667%2C-75.5833%2C10.466700000000001%2C-75.4833&center=10.4167%2C-75.5333
Tokyo Ko,JP,JP TYO,35.6667,139.75,52,0.45,https://www.econdb.com/maritime/ports/async/JP TYO/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=JP TYO,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=JP TYO,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=JP TYO,https://www.econdb.com/maritime/search/?ab=35.6167%2C139.7%2C35.716699999999996%2C139.8&center=35.6667%2C139.75
Melbourne,AU,AU MEL,-37.8333,144.967,53,0.45,https://www.econdb.com/maritime/ports/async/AU MEL/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=AU MEL,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=AU MEL,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=AU MEL,https://www.econdb.com/maritime/search/?ab=-37.8833%2C144.917%2C-37.783300000000004%2C145.01700000000002&center=-37.8333%2C144.967
Norfolk,US,US ORF,36.85,-76.3,54,0.45,https://www.econdb.com/maritime/ports/async/US ORF/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=US ORF,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=US ORF,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=US ORF,https://www.econdb.com/maritime/search/?ab=36.800000000000004%2C-76.35%2C36.9%2C-76.25&center=36.85%2C-76.3
Abu Dhabi,AE,AE AUH,24.5,54.3333,55,0.44,https://www.econdb.com/maritime/ports/async/AE AUH/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=AE AUH,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=AE AUH,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=AE AUH,https://www.econdb.com/maritime/search/?ab=24.45%2C54.283300000000004%2C24.55%2C54.3833&center=24.5%2C54.3333
Ad Dammam,SA,SA DMM,26.25,50.06,56,0.43,https://www.econdb.com/maritime/ports/async/SA DMM/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=SA DMM,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=SA DMM,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=SA DMM,https://www.econdb.com/maritime/search/?ab=26.2%2C50.010000000000005%2C26.3%2C50.11&center=26.25%2C50.06
